Ablation,Model,Setting,Test F1 Formatted,Test PR-AUC Formatted,Test Precision Formatted,Test Recall Formatted,Test MCC Formatted,Test F1 Mean,Test F1 Std,Test PR-AUC Mean,Test PR-AUC Std,Interpretation
Graph Direction,GraphSAGE,Backward (v -> u),0.3213 ± 0.0558,0.2581 ± 0.0993,0.2502 ± 0.0601,0.4648 ± 0.0627,0.2833 ± 0.0601,0.3213,0.0558,0.2581,0.0993,Retrospective analysis aggregating upstream transaction sources
Graph Direction,GraphSAGE,Bidirectional (u <-> v),0.3710 ± 0.1228,0.3595 ± 0.1499,0.3604 ± 0.1745,0.4575 ± 0.0608,0.3371 ± 0.1294,0.371,0.1228,0.3595,0.1499,Exploratory setting allowing bidirectional message propagation
Graph Direction,GraphSAGE,Forward (u -> v),0.2822 ± 0.1248,0.2366 ± 0.1386,0.2695 ± 0.1858,0.3588 ± 0.0756,0.2391 ± 0.1394,0.2822,0.1248,0.2366,0.1386,Primary inductive setting preserving causal payment flow (inputs -> outputs)
GNN Depth / Over-Smoothing,GAT,1 Layer,0.2877 ± 0.0319,0.1936 ± 0.0284,0.2084 ± 0.0314,0.4701 ± 0.0305,0.2497 ± 0.0337,0.2877,0.0319,0.1936,0.0284,1-hop localized neighborhood aggregation
GNN Depth / Over-Smoothing,GAT,2 Layers,0.3308 ± 0.0602,0.2667 ± 0.0695,0.2680 ± 0.0632,0.4412 ± 0.0281,0.2899 ± 0.0640,0.3308,0.0602,0.2667,0.0695,2-layer structural hierarchy
GNN Depth / Over-Smoothing,GAT,3 Layers,0.2847 ± 0.0052,0.2362 ± 0.0126,0.2119 ± 0.0071,0.4352 ± 0.0239,0.2433 ± 0.0065,0.2847,0.0052,0.2362,0.0126,3-layer deep message passing; susceptible to over-smoothing in isotropic models
GNN Depth / Over-Smoothing,GCN,1 Layer,0.2862 ± 0.0250,0.2255 ± 0.0527,0.3221 ± 0.0859,0.2792 ± 0.0533,0.2522 ± 0.0336,0.2862,0.025,0.2255,0.0527,1-hop localized neighborhood aggregation
GNN Depth / Over-Smoothing,GCN,2 Layers,0.2589 ± 0.0639,0.2202 ± 0.0703,0.2788 ± 0.1255,0.2884 ± 0.0839,0.2213 ± 0.0766,0.2589,0.0639,0.2202,0.0703,2-layer structural hierarchy
GNN Depth / Over-Smoothing,GCN,3 Layers,0.2089 ± 0.0892,0.1648 ± 0.0931,0.2052 ± 0.1254,0.2720 ± 0.1123,0.1622 ± 0.0995,0.2089,0.0892,0.1648,0.0931,3-layer deep message passing; susceptible to over-smoothing in isotropic models
GNN Depth / Over-Smoothing,GraphSAGE,1 Layer,0.3750 ± 0.1215,0.3471 ± 0.1413,0.3728 ± 0.1971,0.4708 ± 0.0780,0.3478 ± 0.1233,0.375,0.1215,0.3471,0.1413,1-hop localized neighborhood aggregation
GNN Depth / Over-Smoothing,GraphSAGE,2 Layers,0.2822 ± 0.1248,0.2366 ± 0.1386,0.2695 ± 0.1858,0.3588 ± 0.0756,0.2391 ± 0.1394,0.2822,0.1248,0.2366,0.1386,2-layer structural hierarchy
GNN Depth / Over-Smoothing,GraphSAGE,3 Layers,0.3327 ± 0.1250,0.2916 ± 0.1145,0.3094 ± 0.1525,0.3984 ± 0.0853,0.2914 ± 0.1336,0.3327,0.125,0.2916,0.1145,3-layer deep message passing; susceptible to over-smoothing in isotropic models
