,feature_type,count,mean,std,variance,min,25%,median,75%,max,iqr,skewness
local_feat_16,Local,203769.0,0.0,1.000002384185791,1.0000049,-0.1711503267288208,-0.1707722246646881,-0.16790861,-0.13442698121070862,73.18395233154297,0.03634524345397949,26.47138
local_feat_17,Local,203769.0,1.1981244885106435e-09,1.000002384185791,1.0000049,-0.17290814220905304,-0.17276230454444885,-0.1706344,-0.13975770771503448,48.433021545410156,0.03300459682941437,23.193184
local_feat_18,Local,203769.0,-1.1981244885106435e-09,1.000002384185791,1.0000049,-0.17626413702964783,-0.17574168741703033,-0.17213312,-0.1375529170036316,44.604862213134766,0.03818877041339874,22.539618
local_feat_19,Local,203769.0,-1.61746811500052e-08,1.0000025033950806,1.000005,-1.3736572265625,-1.3736572265625,0.8870579,0.887057900428772,0.887057900428772,2.260715126991272,-0.43673983
local_feat_20,Local,203769.0,5.391560087275593e-09,1.000002384185791,1.0000049,-1.3714598417282104,-1.3714598417282104,0.88455653,0.8845565319061279,0.8845565319061279,2.2560163736343384,-0.43612686
local_feat_21,Local,203769.0,-1.6474211994577104e-09,1.000002384185791,1.0000049,-0.13973185420036316,-0.13973169028759003,-0.1397282,-0.13960224390029907,25.47408676147461,0.0001294463872909546,14.444606
local_feat_22,Local,203769.0,-1.7971867327659652e-09,1.000002384185791,1.0000049,-0.14891231060028076,-0.1489119529724121,-0.14890689,-0.14877250790596008,16.195037841796875,0.00013944506645202637,12.087564
local_feat_23,Local,203769.0,7.78780862020767e-09,1.000002384185791,1.0000049,-0.08014726638793945,-0.08014726638793945,-0.08014727,-0.08014726638793945,23.313283920288086,0.0,18.318218
local_feat_24,Local,203769.0,1.7971867327659652e-09,1.000002384185791,1.0000049,-0.15566198527812958,-0.15566158294677734,-0.15565611,-0.15550164878368378,21.54802894592285,0.0001599341630935669,11.831225
local_feat_25,Local,203769.0,7.78780862020767e-09,1.000002384185791,1.0000049,-2.7009122371673584,-0.010763009078800678,-0.010763009,-0.010763009078800678,2.6793863773345947,0.0,0.042752896
local_feat_26,Local,203769.0,1.1007768918602778e-08,1.000002384185791,1.0000049,-2.689591884613037,-0.01210745144635439,-0.012107451,-0.01210745144635439,2.665376901626587,0.0,0.050247774
local_feat_27,Local,203769.0,-2.9953112212766086e-10,1.000002384185791,1.0000049,-0.13973365724086761,-0.13973349332809448,-0.13972999,-0.13960403203964233,25.47797203063965,0.00012946128845214844,14.447275
local_feat_28,Local,203769.0,-1.497655555127153e-09,1.000002384185791,1.0000049,-0.1489076018333435,-0.14890725910663605,-0.1489022,-0.14876779913902283,16.196130752563477,0.00013945996761322021,12.088975
local_feat_29,Local,203769.0,-9.285464841468638e-09,1.000002384185791,1.0000049,-0.08014673739671707,-0.08014673739671707,-0.08014674,-0.08014673739671707,23.31326675415039,0.0,18.318195
local_feat_30,Local,203769.0,-1.0483589552023886e-09,1.000002384185791,1.0000049,-0.1556619554758072,-0.15566155314445496,-0.1556561,-0.15550190210342407,21.55034828186035,0.0001596510410308838,11.8327
local_feat_31,Local,203769.0,0.0,1.000002384185791,1.0000049,-2.700784921646118,-0.010668560862541199,-0.010668561,-0.010668560862541199,2.679447889328003,0.0,0.042415336
local_feat_32,Local,203769.0,5.953181059226154e-09,1.000002384185791,1.0000049,-2.6893179416656494,-0.012005181983113289,-0.012005182,-0.012005181983113289,2.6653075218200684,0.0,0.04983937
local_feat_33,Local,203769.0,-2.8081041936189877e-09,1.000002384185791,1.0000049,-0.024668831378221512,-0.024668831378221512,-0.024668831,-0.024668831378221512,287.8915100097656,0.0,235.9357
local_feat_34,Local,203769.0,3.968787520847172e-09,1.000002384185791,1.0000048,-0.031272388994693756,-0.031272388994693756,-0.03127239,-0.031272388994693756,269.701171875,0.0,200.43558
local_feat_35,Local,203769.0,3.6692562321860578e-09,1.000002384185791,1.0000049,-0.02304515615105629,-0.02304515615105629,-0.023045156,-0.02304515615105629,289.2043762207031,0.0,148.30069
local_feat_36,Local,203769.0,-2.4711317436754143e-09,1.000002384185791,1.0000049,-0.026214655488729477,-0.026214655488729477,-0.026214655,-0.026214655488729477,280.56622314453125,0.0,222.67009
local_feat_37,Local,203769.0,-1.819651451739901e-08,1.000002384185791,1.0000049,-6.99660587310791,0.0014278136659413576,0.0014278137,0.0014278136659413576,6.999461650848389,0.0,0.088736266
local_feat_38,Local,203769.0,-1.0184058041318167e-08,1.000002384185791,1.0000049,-6.996013164520264,0.0014826437691226602,0.0014826438,0.0014826437691226602,6.998978614807129,0.0,0.0944113
local_feat_39,Local,203769.0,-6.889215864447351e-09,1.000002384185791,1.0000049,-0.22721543908119202,-0.22721543908119202,-0.22721544,-0.22658155858516693,9.43793773651123,0.0006338804960250854,6.434557
local_feat_40,Local,203769.0,-5.391560087275593e-09,1.000002384185791,1.0000049,-0.23936836421489716,-0.23936836421489716,-0.23936836,-0.23702551424503326,16.68284797668457,0.0023428499698638916,6.7475076
local_feat_41,Local,203769.0,1.123241677447595e-08,1.000002384185791,1.0000049,-0.07525552809238434,-0.07525552809238434,-0.07525553,-0.07525552809238434,54.417442321777344,0.0,33.579597
local_feat_42,Local,203769.0,-2.0967179104047773e-09,1.000002384185791,1.0000049,-0.23495151102542877,-0.23495151102542877,-0.23495151,-0.23334944248199463,16.714296340942383,0.001602068543434143,6.4400907
local_feat_43,Local,203769.0,-2.4673875387293265e-08,1.000002384185791,1.0000049,-3.7507100105285645,0.03746802732348442,0.037468027,0.03746802732348442,3.825645923614502,0.0,-0.26397207
local_feat_44,Local,203769.0,-5.691091153892103e-09,1.000002384185791,1.0000049,-3.7277421951293945,0.04344421997666359,0.04344422,0.04344421997666359,3.8146307468414307,0.0,-0.2945197
local_feat_45,Local,203769.0,-1.4677024928744231e-08,1.000002384185791,1.0000049,-0.22720332443714142,-0.22720332443714142,-0.22720332,-0.22669127583503723,11.263428688049316,0.000512048602104187,6.378837
local_feat_46,Local,203769.0,2.8455455769460514e-09,1.000002384185791,1.0000049,-0.24323609471321106,-0.24323609471321106,-0.2432361,-0.2413194328546524,10.995786666870117,0.0019166618585586548,6.1292114
local_feat_47,Local,203769.0,5.691091153892103e-09,1.000002384185791,1.0000049,-0.09789467602968216,-0.09789467602968216,-0.097894676,-0.09789467602968216,46.02341079711914,0.0,15.904276
local_feat_48,Local,203769.0,2.0967179104047773e-09,1.000002384185791,1.0000049,-0.23589642345905304,-0.23589642345905304,-0.23589642,-0.23459461331367493,11.185903549194336,0.0013018101453781128,6.290314
local_feat_49,Local,203769.0,2.396248888203445e-08,1.000002384185791,1.0000049,-3.768681764602661,0.03657665103673935,0.03657665,0.03657665103673935,3.8418352603912354,0.0,-0.25802907
local_feat_50,Local,203769.0,-2.4935966180805735e-08,1.000002384185791,1.0000049,-3.745387315750122,0.042345136404037476,0.042345136,0.042345136404037476,3.8300774097442627,0.0,-0.28917593
local_feat_51,Local,203769.0,-8.985933663829826e-10,1.000002384185791,1.0000049,-0.41403573751449585,-0.41401609778404236,-0.41389334,-0.26549196243286133,7.999066352844238,0.14852413535118103,3.0046551
local_feat_52,Local,203769.0,5.4664428539297205e-09,1.000002384185791,1.0000049,-0.4883655905723572,-0.4883427321910858,-0.48790687,-0.12328646332025528,6.508779525756836,0.36505626887083054,2.3798416
local_feat_53,Local,203769.0,1.902022539468362e-08,1.000002384185791,1.0000049,-0.23255261778831482,-0.23255261778831482,-0.23255262,-0.23255261778831482,15.5435209274292,0.0,5.9370613
local_feat_54,Local,203769.0,-3.74413877679558e-09,1.000002384185791,1.0000049,-0.46758344769477844,-0.46755799651145935,-0.46714398,-0.14242610335350037,7.6051344871521,0.325131893157959,2.6708422
local_feat_55,Local,203769.0,3.7441388878178827e-10,1.000002384185791,1.0000049,-2.841928720474243,0.04876681789755821,0.048766818,0.04876681789755821,2.939462423324585,0.0,-0.1526876
local_feat_56,Local,203769.0,9.734760775259588e-10,1.000002384185791,1.0000049,-2.8314313888549805,0.05295606330037117,0.052956063,0.05295606330037117,2.9373433589935303,0.0,-0.16394678
local_feat_57,Local,203769.0,3.182518137911927e-10,1.000002384185791,1.0000049,-0.0391511395573616,-0.03915102779865265,-0.039149933,-0.03913315385580063,102.2718505859375,1.7873942852020264e-05,50.381046
local_feat_58,Local,203769.0,2.6957800436377966e-09,1.000002384185791,1.0000049,-0.17289549112319946,-0.17289456725120544,-0.17287691,-0.17252054810523987,14.878400802612305,0.00037401914596557617,10.618462
local_feat_59,Local,203769.0,-1.1981244885106435e-09,1.000002384185791,1.0000049,-0.16312599182128906,-0.16312576830387115,-0.16311677,-0.16290374100208282,15.863840103149414,0.00022202730178833008,11.680391
local_feat_60,Local,203769.0,1.497655555127153e-09,1.000002384185791,1.0000049,-0.16093295812606812,-0.16093190014362335,-0.16091432,-0.1605764925479889,29.848562240600586,0.00035540759563446045,12.09529
local_feat_61,Local,203769.0,2.995311110254306e-09,1.000002384185791,1.0000049,-1.3163422346115112,-1.3163422346115112,0.5572149,0.9234730005264282,0.9234730005264282,2.2398152351379395,-0.35315868
local_feat_62,Local,203769.0,-1.587515008338869e-08,1.0000025033950806,1.000005,-1.3153884410858154,-1.3153884410858154,0.4753309,0.9230107069015503,0.9230107069015503,2.2383991479873657,-0.35231826
local_feat_63,Local,203769.0,-1.497655555127153e-09,1.000002384185791,1.0000049,-0.03914642333984375,-0.039146311581134796,-0.039145246,-0.03912857547402382,102.29293823242188,1.7736107110977173e-05,50.394577
local_feat_64,Local,203769.0,-1.1981244885106435e-09,1.000002384185791,1.0000049,-0.17288444936275482,-0.1728835552930832,-0.17286603,-0.17251384258270264,14.879594802856445,0.0003697127103805542,10.620001
local_feat_65,Local,203769.0,0.0,1.000002384185791,1.0000049,-0.16311465203762054,-0.16311444342136383,-0.16310552,-0.16289418935775757,15.86401081085205,0.0002202540636062622,11.680995
local_feat_66,Local,203769.0,3.5943734655319304e-09,1.000002384185791,1.0000049,-0.16092607378959656,-0.160925030708313,-0.16090761,-0.16057397425174713,29.849695205688477,0.00035105645656585693,12.095465
local_feat_67,Local,203769.0,-1.6773743283238218e-08,1.000002384185791,1.0000049,-1.3163334131240845,-1.3163334131240845,0.5530297,0.9235162734985352,0.9235162734985352,2.2398496866226196,-0.35315096
local_feat_68,Local,203769.0,-3.2948423989154207e-09,1.000002384185791,1.0000049,-1.3153753280639648,-1.3153753280639648,0.47541302,0.9231101274490356,0.9231101274490356,2.2384854555130005,-0.35224277
local_feat_69,Local,203769.0,2.8455455769460514e-09,1.000002384185791,1.0000049,-0.017031675204634666,-0.017031675204634666,-0.017031675,-0.017031675204634666,152.18881225585938,0.0,91.4306
local_feat_70,Local,203769.0,2.6957800436377966e-09,1.0000025033950806,1.000005,-0.030026234686374664,-0.030026234686374664,-0.030026235,-0.030026225373148918,137.85186767578125,9.313225746154785e-09,110.78989
local_feat_71,Local,203769.0,2.0967179104047773e-09,1.000002384185791,1.0000049,-0.017640119418501854,-0.017640119418501854,-0.01764012,-0.017640119418501854,146.47293090820312,0.0,127.480125
local_feat_72,Local,203769.0,-5.990622442553217e-10,1.0000025033950806,1.000005,-0.015070900321006775,-0.015070900321006775,-0.0150709,-0.015070892870426178,151.03517150878906,7.450580596923828e-09,129.56456
local_feat_73,Local,203769.0,-3.833998363234059e-08,1.000002384185791,1.0000049,-2.4284255504608154,-0.14076322317123413,-0.14076322,-0.14076322317123413,2.1468989849090576,0.0,0.29023263
local_feat_74,Local,203769.0,9.322906002751097e-09,1.000002384185791,1.0000049,-2.429064989089966,-0.1403346210718155,-0.14033462,-0.1403346210718155,2.1483957767486572,0.0,0.29373035
local_feat_75,Local,203769.0,-5.241794553967338e-09,1.000002384185791,1.0000049,-0.09540268778800964,-0.09540268778800964,-0.09540269,-0.09525331109762192,76.20379638671875,0.00014937669038772583,18.989784
local_feat_76,Local,203769.0,4.942263487350829e-09,1.000002384185791,1.0000049,-0.264424592256546,-0.2644164562225342,-0.2641067,-0.2536236643791199,15.22063159942627,0.010792791843414307,6.829017
local_feat_77,Local,203769.0,6.739450109094491e-10,1.000002384185791,1.0000049,-0.2505735158920288,-0.2505735158920288,-0.25040582,-0.24473758041858673,15.67769718170166,0.005835935473442078,7.083401
local_feat_78,Local,203769.0,-5.691091153892103e-09,1.000002384185791,1.0000049,-0.26375260949134827,-0.2637518048286438,-0.2634154,-0.2542455494403839,16.53920555114746,0.009506255388259888,6.823714
local_feat_79,Local,203769.0,2.1790889093153964e-08,1.000002384185791,1.0000049,-1.4717644453048706,-0.563281774520874,-0.16911891,1.1335266828536987,1.1335266828536987,1.6968084573745728,-0.22940536
local_feat_80,Local,203769.0,4.200924053066046e-08,1.000002384185791,1.0000049,-1.4702774286270142,-0.5792456269264221,-0.16716538,1.1359467506408691,1.1359467506408691,1.7151923775672913,-0.22422451
local_feat_81,Local,203769.0,-6.5896847978308415e-09,1.000002384185791,1.0000049,-0.05913524702191353,-0.05901305377483368,-0.059013054,-0.05889086425304413,142.5269012451172,0.00012218952178955078,53.32552
local_feat_82,Local,203769.0,4.343201354117809e-09,1.000002384185791,1.0000049,-0.2624332308769226,-0.26242387294769287,-0.2622,-0.2565188407897949,10.62330150604248,0.005905032157897949,5.8021297
local_feat_83,Local,203769.0,4.492966887426064e-09,1.000002384185791,1.0000049,-0.2551681399345398,-0.2551681399345398,-0.25504357,-0.251785010099411,10.928449630737305,0.003383129835128784,5.8725805
local_feat_84,Local,203769.0,-8.012457364259262e-09,1.000002384185791,1.0000049,-0.259270042181015,-0.25925105810165405,-0.25902304,-0.2542635202407837,21.912189483642578,0.004987537860870361,5.927571
local_feat_85,Local,203769.0,-2.770662810291924e-09,1.000002384185791,1.0000049,-1.4999715089797974,-0.3857121169567108,-0.18719096,1.1255896091461182,1.1255896091461182,1.511301726102829,-0.25053737
local_feat_86,Local,203769.0,4.642732420734319e-09,1.000002384185791,1.0000049,-1.4985852241516113,-0.3899957239627838,-0.18527363,1.1280380487442017,1.1280380487442017,1.5180337727069855,-0.24517171
local_feat_87,Local,203769.0,2.8455455769460514e-09,1.000002384185791,1.0000049,-0.2939108610153198,-0.2938809096813202,-0.2937745,-0.2759006917476654,12.493003845214844,0.017980217933654785,5.024871
local_feat_88,Local,203769.0,4.792497954042574e-09,1.000002384185791,1.0000049,-0.7619836926460266,-0.7527132630348206,-0.49233133,0.45227959752082825,6.887736797332764,1.2049928605556488,1.4622002
local_feat_89,Local,203769.0,-5.990622220508612e-09,1.000002384185791,1.0000049,-0.6942352056503296,-0.6925161480903625,-0.48581174,0.34902089834213257,6.506443977355957,1.0415370464324951,1.8290172
local_feat_90,Local,203769.0,7.188746931063861e-09,1.000002384185791,1.0000049,-0.7210038304328918,-0.7122742533683777,-0.46621495,0.36298659443855286,7.650414943695068,1.0752608478069305,1.8737366
local_feat_91,Local,203769.0,-6.889215864447351e-09,1.000002384185791,1.0000049,-1.084906816482544,-1.084906816482544,0.025307983,1.135522723197937,1.135522723197937,2.220429539680481,0.043398954
local_feat_92,Local,203769.0,-3.175030016677738e-08,1.0000025033950806,1.000005,-1.084844946861267,-1.084844946861267,0.025216904,1.1352787017822266,1.1352787017822266,2.2201236486434937,0.043505922
agg_feat_0,Aggregated,203769.0,-1.1981244885106435e-09,1.000002384185791,1.0000049,-0.17109878361225128,-0.17063812911510468,-0.16642642,-0.11820046603679657,48.93995666503906,0.052437663078308105,25.566435
agg_feat_1,Aggregated,203769.0,8.985933663829826e-10,1.000002384185791,1.0000049,-0.20310549437999725,-0.201890230178833,-0.19319524,-0.12395370006561279,127.11370849609375,0.07793653011322021,29.371893
agg_feat_2,Aggregated,203769.0,-4.792497954042574e-09,1.000002384185791,1.0000049,-0.11681671440601349,-0.11681671440601349,-0.116816714,-0.11681671440601349,175.00892639160156,0.0,56.186962
agg_feat_3,Aggregated,203769.0,1.1981244885106435e-09,1.000002384185791,1.0000049,-0.19336898624897003,-0.19208666682243347,-0.18307537,-0.11543015390634537,47.86299133300781,0.0766565129160881,24.39419
agg_feat_4,Aggregated,203769.0,1.4564700556718435e-08,1.000002384185791,1.0000049,-2.566101312637329,-0.014658776111900806,-0.014658776,-0.014658776111900806,2.5367839336395264,0.0,0.03682053
agg_feat_5,Aggregated,203769.0,-4.7176151873884464e-09,1.000002384185791,1.0000049,-2.5699856281280518,-0.018848713487386703,-0.018848713,-0.018848713487386703,2.532288074493408,0.0,0.04186886
agg_feat_6,Aggregated,203769.0,1.4377493862127722e-08,1.000002384185791,1.0000049,-9.17678165435791,-0.941246509552002,-0.037706383,0.9307223558425903,1.6413902044296265,1.8719688653945923,-0.118053354
agg_feat_7,Aggregated,203769.0,1.9169991816170295e-08,1.000002384185791,1.0000049,-9.343100547790527,-0.9686008095741272,-0.049687836,0.9351106882095337,1.6575720310211182,1.9037114977836609,0.00855242
agg_feat_8,Aggregated,203769.0,4.0249492627708605e-09,1.000002384185791,1.0000049,-0.0834587812423706,-0.0834587812423706,-0.08345878,-0.0834587812423706,91.53578186035156,0.0,24.273043
agg_feat_9,Aggregated,203769.0,1.9169991816170295e-08,1.000002384185791,1.0000049,-9.31367301940918,-0.9619772434234619,-0.045562934,0.9365577697753906,1.6570870876312256,1.8985350131988525,-0.0031882366
agg_feat_10,Aggregated,203769.0,9.285464841468638e-09,1.000002384185791,1.0000049,-2.9592173099517822,-0.08879772573709488,-0.088797726,-0.08879772573709488,2.7816219329833984,0.0,0.3612592
agg_feat_11,Aggregated,203769.0,-3.2948423989154207e-09,1.000002384185791,1.0000049,-2.9502100944519043,-0.09043708443641663,-0.090437084,-0.09043708443641663,2.7693357467651367,0.0,0.3809113
agg_feat_12,Aggregated,203769.0,1.0184058041318167e-08,1.000002384185791,1.0000049,-0.17766420543193817,-0.166549950838089,-0.14432144,-0.11097867041826248,44.279361724853516,0.05557128041982651,12.119489
agg_feat_13,Aggregated,203769.0,-2.396248977021287e-09,1.000002384185791,1.0000049,-0.22498510777950287,-0.21312648057937622,-0.19119021,-0.15480239689350128,33.56991195678711,0.05832408368587494,8.812666
agg_feat_14,Aggregated,203769.0,-1.6773743283238218e-08,1.000002384185791,1.0000049,-0.13454647362232208,-0.13454647362232208,-0.13454647,-0.13454647362232208,56.161922454833984,0.0,14.128002
agg_feat_15,Aggregated,203769.0,7.188746931063861e-09,1.000002384185791,1.0000049,-0.20543374121189117,-0.1911643147468567,-0.16704218,-0.12951593101024628,42.26310348510742,0.06164838373661041,11.018762
agg_feat_16,Aggregated,203769.0,9.959409297266575e-09,1.000002384185791,1.0000049,-3.02477765083313,-0.0031749901827424765,-0.0031749902,-0.0031749901827424765,3.018427610397339,0.0,0.0035801372
agg_feat_17,Aggregated,203769.0,-6.290153287125122e-09,1.000002384185791,1.0000049,-3.030689239501953,-0.004094090312719345,-0.0040940903,-0.004094090312719345,3.022501230239868,0.0,0.0027195085
agg_feat_18,Aggregated,203769.0,5.7509975448510886e-08,1.000002384185791,1.0000049,-1.6263847351074219,-1.0963356494903564,-0.036237665,1.0238603353500366,2.6140074729919434,2.120195984840393,0.11496672
agg_feat_19,Aggregated,203769.0,-9.584995908085148e-09,1.000002384185791,1.0000049,-1.7810335159301758,-1.2673399448394775,0.27374104,0.7874346971511841,2.3285157680511475,2.0547746419906616,-0.11224939
agg_feat_20,Aggregated,203769.0,1.6848625605803136e-08,1.000002384185791,1.0000049,-0.34993278980255127,-0.34993278980255127,-0.3499328,-0.34993278980255127,8.502634048461914,0.0,3.2081847
agg_feat_21,Aggregated,203769.0,-6.230246896166136e-08,1.0000025033950806,1.000005,-1.7728275060653687,-1.2304408550262451,0.39671925,0.9391059279441833,2.5662660598754883,2.1695467829704285,-0.032226514
agg_feat_22,Aggregated,203769.0,-7.113863942365128e-10,1.000002384185791,1.0000049,-3.6757543087005615,-0.00435761408880353,-0.004357614,-0.00435761408880353,3.667039155960083,0.0,-0.008110543
agg_feat_23,Aggregated,203769.0,3.2368081548384e-08,1.000002384185791,1.0000049,-3.6738574504852295,-0.004194370470941067,-0.0041943705,-0.004194370470941067,3.665468692779541,0.0,-0.0072384547
agg_feat_24,Aggregated,203769.0,5.391560087275593e-09,1.000002384185791,1.0000049,-0.22092381119728088,-0.11642460525035858,-0.116424605,-0.11642460525035858,70.2115478515625,0.0,27.58881
agg_feat_25,Aggregated,203769.0,2.995311110254306e-09,1.000002384185791,1.0000049,-0.23770028352737427,-0.17661727964878082,-0.17661728,-0.11553428322076797,40.93224334716797,0.06108299642801285,17.481874
agg_feat_26,Aggregated,203769.0,2.396248977021287e-09,1.000002384185791,1.0000049,-0.1373232752084732,-0.1373232752084732,-0.13732328,-0.1373232752084732,73.26416778564453,0.0,26.453968
agg_feat_27,Aggregated,203769.0,-1.1981244885106435e-09,1.000002384185791,1.0000049,-0.24927347898483276,-0.1524643748998642,-0.15246437,-0.10405981540679932,65.00006866455078,0.04840455949306488,24.256159
agg_feat_28,Aggregated,203769.0,4.305759748746141e-09,1.000002384185791,1.0000049,-3.327523708343506,-0.02605968900024891,-0.026059689,-0.02605968900024891,3.275404214859009,0.0,0.14204316
agg_feat_29,Aggregated,203769.0,1.239309987965953e-08,1.000002384185791,1.0000049,-3.330855131149292,-0.027659714221954346,-0.027659714,-0.027659714221954346,3.275535821914673,0.0,0.1452367
agg_feat_30,Aggregated,203769.0,-6.439918820433377e-09,1.000002384185791,1.0000049,-0.0955592691898346,-0.0931447297334671,-0.09314473,-0.0931447297334671,31.549436569213867,0.0,20.038675
agg_feat_31,Aggregated,203769.0,7.488278053191522e-11,1.0000025033950806,1.000005,-0.14512594044208527,-0.14370672404766083,-0.14370672,-0.1422875076532364,18.455158233642578,0.0014192163944244385,11.9181385
agg_feat_32,Aggregated,203769.0,-7.488277775635765e-10,1.000002384185791,1.0000049,-0.09771859645843506,-0.09771859645843506,-0.0977186,-0.09771859645843506,29.781530380249023,0.0,18.148191
agg_feat_33,Aggregated,203769.0,-9.285464841468638e-09,1.000002384185791,1.0000049,-0.12949569523334503,-0.1274622529745102,-0.12746225,-0.12542881071567535,26.520830154418945,0.002033442258834839,15.187794
agg_feat_34,Aggregated,203769.0,6.9640986311014785e-09,1.000002384185791,1.0000049,-3.8721938133239746,0.003143296344205737,0.0031432963,0.003143296344205737,3.8784804344177246,0.0,0.014150667
agg_feat_35,Aggregated,203769.0,2.508573127002478e-09,1.000002384185791,1.0000049,-3.871849298477173,0.0024263099767267704,0.00242631,0.0024263099767267704,3.876702070236206,0.0,0.011241513
agg_feat_36,Aggregated,203769.0,-2.9204283436001788e-09,1.000002384185791,1.0000049,-0.12489527463912964,-0.12444941699504852,-0.1220659,-0.09972262382507324,224.45867919921875,0.02472679316997528,110.01539
agg_feat_37,Aggregated,203769.0,6.739450109094491e-10,1.000002384185791,1.0000049,-0.20042288303375244,-0.1978156864643097,-0.18160379,-0.091256283223629,59.44855499267578,0.1065594032406807,23.941849
agg_feat_38,Aggregated,203769.0,-2.02183514375065e-09,1.000002384185791,1.0000049,-0.18871581554412842,-0.187918022274971,-0.17599164,-0.09648671001195908,75.5009536743164,0.09143131226301193,27.676764
agg_feat_39,Aggregated,203769.0,-1.5725383217812805e-09,1.000002384185791,1.0000049,-0.2152305394411087,-0.21161706745624542,-0.1911135,-0.08569205552339554,92.49166107177734,0.12592501193284988,29.46355
agg_feat_40,Aggregated,203769.0,1.5950032405953607e-08,1.000002384185791,1.0000049,-1.1596487760543823,-1.1596487760543823,-0.047722124,1.0642045736312866,1.0642045736312866,2.223853349685669,-0.08531589
agg_feat_41,Aggregated,203769.0,8.536637174927364e-09,1.000002384185791,1.0000049,-1.1601288318634033,-1.1601288318634033,-0.048170686,1.0637874603271484,1.0637874603271484,2.2239162921905518,-0.08644714
agg_feat_42,Aggregated,203769.0,-2.396248888203445e-08,1.000002384185791,1.0000049,-13.093358039855957,-0.8903611302375793,-0.045175042,0.8606746196746826,4.124285697937012,1.751035749912262,-1.8927252
agg_feat_43,Aggregated,203769.0,0.0,1.000002384185791,1.0000049,-11.660576820373535,-0.8737687468528748,-0.0817026,0.7706292271614075,3.4862170219421387,1.6443979740142822,-1.041297
agg_feat_44,Aggregated,203769.0,2.246483443713032e-09,1.000002384185791,1.0000049,-0.30175426602363586,-0.3015481233596802,-0.29866216,-0.24712689220905304,11.463400840759277,0.054421231150627136,4.758526
agg_feat_45,Aggregated,203769.0,-6.709497313295287e-08,1.000002384185791,1.0000049,-12.868440628051758,-0.8726680874824524,-0.04553715,0.8993806838989258,3.973634719848633,1.7720487713813782,-1.7996167
agg_feat_46,Aggregated,203769.0,-2.6358739191323366e-08,1.000002384185791,1.0000049,-0.9757375121116638,-0.9757375121116638,0.15986001,1.3420029878616333,1.3420029878616333,2.317740499973297,0.3100574
